time,open,high,low,close
1781254740,1.155,1.15519,1.15475,1.15482
1781254800,1.15479,1.15515,1.15479,1.15489
1781254860,1.15489,1.1559,1.1548,1.15588
1781254920,1.1559,1.15623,1.1559,1.15623
1781254980,1.15622,1.15622,1.15586,1.15612
1781255040,1.15614,1.15629,1.15594,1.15604
1781255100,1.15605,1.15623,1.15584,1.15599
1781255160,1.15596,1.15628,1.15584,1.15617
1781255220,1.15614,1.15669,1.15614,1.15667
1781255280,1.15667,1.15696,1.15651,1.15683
1781255340,1.15683,1.15715,1.15681,1.15712
1781255400,1.15712,1.15731,1.15706,1.15729
1781255460,1.15729,1.15752,1.15704,1.15735
1781255520,1.15735,1.15778,1.15735,1.15776
1781255580,1.15776,1.15776,1.15715,1.15747
1781255640,1.15747,1.15765,1.15705,1.15762
1781255700,1.15762,1.1578,1.15712,1.1578
1781255760,1.1578,1.15784,1.15751,1.15783
1781255820,1.15782,1.15782,1.15734,1.15735
1781255880,1.15733,1.15747,1.15714,1.15725
1781255940,1.15725,1.15762,1.15718,1.15762
1781256000,1.1576,1.15771,1.15754,1.15769
1781256060,1.15769,1.15854,1.15758,1.15854
1781256120,1.15854,1.15881,1.1581,1.15814
1781256180,1.15812,1.15829,1.15774,1.15774
1781256240,1.15776,1.15804,1.15763,1.15786
1781256300,1.15784,1.15784,1.15745,1.1577
1781256360,1.1577,1.15823,1.1577,1.15811
1781256420,1.15811,1.15811,1.15759,1.15765
1781256480,1.15765,1.15787,1.15751,1.15779
1781256540,1.15779,1.15805,1.15758,1.15776
1781256600,1.15776,1.15789,1.15747,1.15753
1781256660,1.15754,1.15773,1.1572,1.1577
1781256720,1.15772,1.15789,1.15749,1.15777
1781256780,1.15774,1.15804,1.15751,1.15765
1781256840,1.15765,1.15807,1.15765,1.15769
1781256900,1.15768,1.15807,1.15762,1.15794
1781256960,1.15794,1.15811,1.15752,1.15763
1781257020,1.15761,1.15766,1.15739,1.15743
1781257080,1.15741,1.15793,1.15741,1.15791
1781257140,1.15791,1.15848,1.15791,1.15835
1781257200,1.15834,1.15873,1.15828,1.15862
1781257260,1.15862,1.1589,1.15849,1.15867
1781257320,1.15867,1.1587,1.15835,1.15835
1781257380,1.15835,1.15838,1.15795,1.15801
1781257440,1.15801,1.15817,1.15774,1.15815
1781257500,1.15815,1.15823,1.15782,1.15786
1781257560,1.15786,1.15804,1.15739,1.15741
1781257620,1.15739,1.15739,1.15685,1.15685
1781257680,1.15687,1.1574,1.15679,1.15733
1781257740,1.15733,1.15741,1.15695,1.15712
1781257800,1.15709,1.15719,1.1569,1.15707
1781257860,1.15707,1.15717,1.15666,1.15666
1781257920,1.15666,1.15702,1.15655,1.15689
1781257980,1.15689,1.15715,1.15686,1.15711
1781258040,1.15711,1.15754,1.15711,1.15712
1781258100,1.15712,1.1572,1.15693,1.15712
1781258160,1.15712,1.15719,1.15671,1.1568
1781258220,1.15682,1.15686,1.15654,1.15669
1781258280,1.15668,1.15668,1.15624,1.15658
1781258340,1.15656,1.15687,1.15644,1.15668
1781258400,1.15668,1.15678,1.15644,1.15651
1781258460,1.15651,1.15651,1.15591,1.15607
1781258520,1.15607,1.15644,1.15604,1.15627
1781258580,1.15619,1.15619,1.15565,1.15577
1781258640,1.15575,1.15592,1.15564,1.15564
1781258700,1.15566,1.15589,1.15546,1.15555
1781258760,1.15555,1.15576,1.15543,1.15569
1781258820,1.15568,1.1559,1.15565,1.15565
1781258880,1.15564,1.15564,1.15493,1.15506
1781258940,1.15508,1.1551,1.15463,1.15468
1781259000,1.1547,1.1553,1.1547,1.15528
1781259060,1.15522,1.15534,1.155,1.15509
1781259120,1.15509,1.15524,1.15494,1.15509
1781259180,1.15508,1.1552,1.15483,1.15501
1781259240,1.15501,1.15518,1.15491,1.15503
1781259300,1.15505,1.15511,1.15448,1.15448
1781259360,1.15448,1.15473,1.15442,1.15473
1781259420,1.15473,1.15481,1.15439,1.15452
1781259480,1.15452,1.1546,1.15407,1.15455
1781259540,1.15455,1.15511,1.15455,1.15501
1781259600,1.15501,1.15521,1.15491,1.15509
1781259660,1.15509,1.15532,1.1549,1.1553
1781259720,1.1553,1.1556,1.15503,1.15514
1781259780,1.15514,1.15554,1.15498,1.15498
1781259840,1.15515,1.1552,1.15477,1.15478
1781259900,1.15477,1.15513,1.15471,1.15483
1781259960,1.15483,1.15494,1.15473,1.15473
1781260020,1.15475,1.15481,1.15455,1.15479
1781260080,1.15479,1.15491,1.15452,1.15475
1781260140,1.15475,1.15475,1.15441,1.15446
1781260200,1.15444,1.15453,1.15401,1.15405
1781260260,1.15405,1.15415,1.15381,1.15404
1781260320,1.15403,1.15403,1.15366,1.15373
1781260380,1.15373,1.15391,1.15354,1.15359
1781260440,1.15359,1.15361,1.15332,1.15334
1781260500,1.15334,1.1536,1.15328,1.15356
1781260560,1.15356,1.15356,1.15318,1.15318
1781260620,1.15318,1.15333,1.15299,1.15299
1781260680,1.15299,1.15307,1.15267,1.15295
1781260740,1.15295,1.15298,1.15262,1.15279
1781260800,1.15279,1.15307,1.15263,1.15278
1781260860,1.15278,1.15282,1.15223,1.15234
1781260920,1.15232,1.15234,1.15186,1.15203
1781260980,1.15203,1.15211,1.15163,1.15172
1781261040,1.15172,1.15182,1.15127,1.15129
1781261100,1.15131,1.15145,1.1512,1.15136
1781261160,1.15138,1.15198,1.15138,1.15184
1781261220,1.15179,1.15188,1.15146,1.1518
1781261280,1.1518,1.1518,1.15111,1.15119
1781261340,1.15119,1.15123,1.15102,1.15119
1781261400,1.15118,1.15165,1.15109,1.15146
1781261460,1.15146,1.15163,1.15109,1.15109
1781261520,1.15109,1.15118,1.15085,1.15114
1781261580,1.15114,1.15114,1.1506,1.1506
1781261640,1.1506,1.15065,1.1503,1.15043
1781261700,1.15041,1.15069,1.15039,1.15045
1781261760,1.15047,1.15073,1.1503,1.15059
1781261820,1.15059,1.15124,1.15025,1.15112
1781261880,1.15112,1.1512,1.15069,1.15117
1781261940,1.15117,1.15162,1.1511,1.15151
1781262000,1.15151,1.15182,1.15141,1.15142
1781262060,1.15141,1.15171,1.15123,1.15123
1781262120,1.15122,1.15168,1.15119,1.15144
1781262180,1.1514,1.1517,1.1514,1.15163
1781262240,1.15165,1.15171,1.15101,1.15103
1781262300,1.15103,1.15111,1.15086,1.15086
1781262360,1.15086,1.15136,1.15083,1.15131
1781262420,1.15131,1.1516,1.15108,1.15113
1781262480,1.15113,1.15134,1.15103,1.15122
1781262540,1.15122,1.15141,1.15119,1.1513
1781262600,1.1513,1.15182,1.15126,1.15158
1781262660,1.15156,1.15165,1.15133,1.1516
1781262720,1.15162,1.15168,1.15131,1.15131
